Migrant remittance outflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Macao SAR, China",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,115,119,160,207,476,823,936,667,539,654,853,"1,060",..
"Macedonia, FYR",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,0,21,12,14,21,23,16,16,16,18,25,33,26,23,25,24,24,24
Madagascar,..,..,..,..,20,37,35,26,27,26,31,23,20,12,11,14,16,12,14,13,18,10,9,7,8,11,13,15,13,11,12,11,5,18,9,19,17,19,23,30,35,46,54,50,..
Malawi,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,7,7,7,7,10,10,13,15,17,18,..,..
Malaysia,..,..,..,..,5,5,6,11,19,12,19,17,15,15,15,13,21,131,183,184,230,205,227,299,188,"1,331","1,423","2,077","2,928",484,599,634,"3,825","3,461","5,060","5,679","5,597","6,388","6,786","6,529","6,729","6,946","7,280","7,596",..
Maldives,..,..,..,..,..,..,..,..,..,..,0,0,1,2,3,2,3,4,6,6,8,17,19,27,22,27,27,28,31,41,46,50,51,55,62,70,84,189,219,190,189,240,260,266,324
Mali,..,..,..,..,..,12,8,6,12,20,19,15,14,13,12,29,38,44,40,42,45,51,69,56,37,42,23,21,32,30,26,23,30,58,64,69,57,83,105,167,176,129,111,134,..
Malta,..,3,4,5,3,4,5,3,6,7,8,7,5,4,6,5,6,8,9,24,25,8,5,2,3,13,15,13,12,15,14,11,11,13,21,28,43,49,53,47,47,42,251,"1,206","1,474"
Marshall Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,4,4,4,4,6,7,7,8,..
Mauritania,..,..,..,..,..,22,25,22,21,32,33,22,32,27,24,24,29,32,34,32,31,29,30,23,25,14,12,12,10,..,..,..,..,..,..,..,..,..,..,..,..,..,240,255,..
Mauritius,..,..,..,..,..,..,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,0,1,8,10,10,11,9,10,10,13,10,8,9,8,8,9
Mexico,..,..,..,..,..,..,..,..,..,..,11,19,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,867,"1,002"
"Micronesia, Fed. Sts.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,17,17,18,16,..
Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,1,6,20,24,25,46,59,57,67,67,46,57,72,92,74,79,51,79,87,147
Monaco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
