DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Envios de Valores La Nacional,Money Transfer Operator,Cash to cash,Less than one hour,200,9.96,500,9.06,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Envios de Valores La Nacional,Money Transfer Operator,Door to door,Same day,200,9.96,500,9.06,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Citibank,Bank,Cash to cash,Next day,200,10.19,500,7.79,,26/Jan/2011,USADOM
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,MoneyGram,Money Transfer Operator,Door to door,Next day,200,10.5,500,9,,26/Jan/2011,USADOM
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Wells Fargo,Bank,Cash to cash,Next day,200,0,500,0,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Ria,Money Transfer Operator,Cash to cash,Less than one hour,200,2.25,500,2.25,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Delgado Travel,Bank,Cash to cash,Same day,200,2.5,500,2.5,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Dolex Dollar Express,Money Transfer Operator,Cash to cash,Same day,200,2.5,500,1,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Vigo,Money Transfer Operator,Cash to cash,Same day,200,2.5,500,1.8,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Girosol,Money Transfer Operator,Cash to cash,Same day,200,3,500,3,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,La Nacional,Money Transfer Operator,Cash to cash,Same day,200,3,500,3,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Remesas Quisqueyana,Money Transfer Operator,Cash to cash,Same day,200,3,500,3,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Wells Fargo,Bank,Cash to cash,Next day,200,3.25,500,1.3,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Xoom,Money Transfer Operator,Account to cash,Same day,200,3.5,500,2,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Uniteller,Money Transfer Operator,Cash to cash,Next day,200,4,500,4,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Wells Fargo,Bank,Cash to cash,Next day,200,4,500,1.6,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Western Union,Money Transfer Operator,Cash to cash,Next day,200,4,500,4,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,MoneyGram,Money Transfer Operator,Cash to cash,Less than one hour,200,5,500,2,,26/Jan/2011,USAECU
